File name, PHOTO-2022-08-09-12-40-50_Bagwp43_adMwDkP.csv
Filesize, 0.0 megabytes(s)
Creation Date, 2022-08-12 15:06:35.027175+00:00
Modified Date, 2022-08-12 15:06:35.027016+00:00
Accessed Date, 2022-08-12 15:06:35.027901+00:00
File type, CSV
File Extension, csv
